"","id_client","sexe","age","Région","Canal_Bancaire","Produit","Date_Souscription","Versements_Annuel","Statut","date_transaction","versement","retrait","encours"
"1",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-01-01,0,0,17611.2297977234
"2",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-02-01,0,549,17127.2297977234
"3",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-03-01,914,0,18852.2297977234
"4",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-04-01,0,0,18023.2297977234
"5",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-05-01,927,0,18825.2297977234
"6",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-06-01,0,126,17522.2297977234
"7",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-07-01,0,0,17593.2297977234
"8",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-08-01,0,778,17171.2297977234
"9",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-09-01,1736,419,19041.2297977234
"10",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-10-01,0,566,17347.2297977234
"11",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-11-01,760,0,18439.2297977234
"12",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2023-12-01,412,0,18245.2297977234
"13",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-01-01,636,385,18184.2297977234
"14",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-02-01,517,639,17847.2297977234
"15",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-03-01,862,0,18429.2297977234
"16",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-04-01,809,0,18528.2297977234
"17",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-05-01,0,0,17912.2297977234
"18",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-06-01,0,1384,16335.2297977234
"19",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-07-01,441,0,18032.2297977234
"20",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-08-01,1859,0,19836.2297977234
"21",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-09-01,822,0,18649.2297977234
"22",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-10-01,0,0,17561.2297977234
"23",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-11-01,689,0,18425.2297977234
"24",1,"Femme",63,"Auvergne-Rhône-Alpes","CR","Multi-support",2020-12-14,16795,"Actif",2024-12-01,1236,0,19097.2297977234
"25",2,"Homme",53,"Hauts-de-France","CR","Assurance-Vie",2019-05-10,6390,"Racheté",2023-01-01,154,799,4795.22066117084
"26",2,"Homme",53,"Hauts-de-France","CR","Assurance-Vie",2019-05-10,6390,"Racheté",2023-02-01,261,0,5490.22066117084
"27",2,"Homme",53,"Hauts-de-France","CR","Assurance-Vie",2019-05-10,6390,"Racheté",2023-03-01,1301,1031,5765.22066117084
"28",2,"Homme",53,"Hauts-de-France","CR","Assurance-Vie",2019-05-10,6390,"Racheté",2023-04-01,1958,0,7387.22066117084
